"","month","NO2_mean","SO2_mean","Ozone_mean","PM2.5_mean","NO2_sd","SO2_sd","Ozone_sd","PM2.5_sd","NO2_median","SO2_median","Ozone_median","PM2.5_median","NO2_IQR","SO2_IQR","Ozone_IQR","PM2.5_IQR"
"1","2018-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2018-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018-07",16.4460978260869,7.83806966873706,8.42249417027417,21.760862365895,1.78595470118601,1.69323643437837,2.34940508806364,3.49865335247937,16.8058333333333,7.55,8.485,21.9782608695652,1.6,3.13291666666666,3.80583333333337,4.8720238095238
"8","2018-08",16.6899199392239,8.69488937764744,4.6327567488385,25.9906046793319,2.13258096916923,1.7680594461768,1.25997028732586,7.48677446864612,16.5029166666667,8.17666666666667,4.28702380952381,24.96875,2.80125,1.92438043478261,1.80308100414079,6.01657196969695
"9","2018-09",26.4757407407408,7.88014311594203,8.85124956082564,31.1780014822134,6.1978699926419,0.879938621375831,3.39831745604073,5.72249956734827,27.52625,7.84354166666667,8.05666666666666,31.5978260869566,10.57125,1.38767210144927,6.18481060606056,7.27580492424245
"10","2018-10",41.0351493369884,8.29357425942454,13.0118018023351,44.8775699668494,13.5205340505906,1.410694837838,6.29752993005268,17.0275990265256,38.3227272727273,7.90086956521739,13.2195833333333,48.5729166666667,22.344375,1.91894021739131,7.3369047619048,24.2056159420289
"11","2018-11",52.3223293258674,7.95952982464396,14.8262825757576,48.4665184453228,13.3767197449432,1.57928054427807,13.8580288632122,17.0127301546984,49.0391666666667,7.72854166666667,11.3083333333334,47.03125,16.4544412878788,1.4199255952381,6.25062500000003,25.7630208333333
"12","2018-12",60.7560448807854,7.98656615240767,69.2378843400045,59.8724698775979,11.4571215559862,1.14292526490699,21.1218668807659,20.2492693369836,62.2304166666667,8.00791666666667,64.5454166666667,60.7083333333333,16.3797916666667,1.33683876811594,26.9222916666666,21.4224514163373
