"","day","NO2_mean","SO2_mean","Ozone_mean","PM2.5_mean","NO2_sd","SO2_sd","Ozone_sd","PM2.5_sd","NO2_median","SO2_median","Ozone_median","PM2.5_median","NO2_IQR","SO2_IQR","Ozone_IQR","PM2.5_IQR"
"51",2018-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2018-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2018-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2018-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2018-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2018-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2018-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2018-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2018-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2018-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2018-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2018-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2018-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2018-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2018-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2018-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2018-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2018-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2018-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2018-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2018-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2018-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2018-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2018-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2018-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2018-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2018-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2018-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2018-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2018-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2018-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2018-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2018-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2018-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2018-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2018-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2018-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",2018-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2018-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2018-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2018-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2018-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2018-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",2018-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2018-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2018-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2018-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2018-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2018-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2018-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2018-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2018-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2018-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2018-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2018-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2018-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2018-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2018-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2018-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2018-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2018-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2018-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2018-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2018-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2018-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2018-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2018-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2018-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2018-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2018-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2018-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2018-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2018-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2018-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2018-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2018-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2018-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2018-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2018-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2018-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2018-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2018-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2018-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2018-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2018-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2018-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2018-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2018-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2018-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",2018-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",2018-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",2018-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",2018-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",2018-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2018-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",2018-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",2018-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",2018-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2018-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2018-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",2018-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",2018-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",2018-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",2018-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",2018-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2018-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",2018-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2018-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",2018-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",2018-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2018-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",2018-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",2018-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2018-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",2018-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2018-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",2018-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",2018-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2018-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2018-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2018-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2018-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2018-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2018-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2018-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2018-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2018-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",2018-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",2018-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2018-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",2018-06-30,23.0268181818182,7.93083333333333,10.925,23.195652173913,6.30486915869196,3.00766544836279,6.51593632492493,7.22289467664325,21.64,7.675,12.42,20.5,6.255,3.6075,11.82,8.5
"182",2018-07-01,17.235,7.40291666666667,11.1740909090909,24.2608695652174,4.14051036551734,2.02515158673996,8.11483512674159,5.37908315357948,15.94,8.165,7.45,23.25,5.2125,2.4625,12.75,7.875
"183",2018-07-02,15.22,6.07583333333333,10.2633333333333,17.775,3.96737674803762,3.21510148148264,6.02535848954535,3.30261061012425,13.96,6.575,9.07,17.5,4.3875,5.0075,8.8525,2.3125
"184",2018-07-03,16.1145833333333,7.55,7.34857142857143,24.0416666666667,4.59853566405907,2.09408691319152,4.78604668355239,5.32664889079402,15.635,7.41,6.08,24.5,4.4775,3.0725,8.73,6.375
"185",2018-07-04,15.1516666666667,4.91166666666667,8.18958333333333,19.5625,4.46696343379265,2.74675724488329,3.81197823704571,3.6297757147144,14.295,4.56,7.935,18.875,3.9625,4.02,4.52,5.0625
"186",2018-07-05,16.0054166666667,8.175,9.34363636363636,23.6413043478261,4.56332637939996,1.8136799008118,4.40282868539084,3.58249063228849,16.165,8.3,9.29,23.5,6.5275,2.1375,6.295,3.375
"187",2018-07-06,16.85125,5.77041666666667,9.665,19.5104166666667,5.16204737988464,2.78883562919486,4.76302059804399,4.88813957600361,15.79,5.26,9.065,18.625,3.22,4.79,7.7575,4.0625
"188",2018-07-07,17.68625,6.12333333333333,11.39,15.3095238095238,4.79080352024222,2.30872007956727,4.09074246476645,6.23543541077163,17.085,6,10.975,14.25,6.0475,3.2225,4.845,5.25
"189",2018-07-08,14.3225,5.90583333333333,9.38458333333333,17.0108695652174,3.44532607152508,2.97540631739989,5.13815055474131,4.57977164282186,14.275,5.4,8.945,18.25,4.6675,4.83,7.8975,4.625
"190",2018-07-09,17.8845833333333,6.94541666666667,6.01458333333333,23.4270833333333,7.25224581657696,2.01429668201792,4.21245459701159,6.64245206110349,15.715,6.565,5.07,25.375,11.0975,2.88,6.2025,9.3125
"191",2018-07-10,19.9195833333333,5.45625,6.64055555555556,24.65625,7.38341824876743,2.13855662925295,4.14696270458303,7.87739352859484,16.965,6.09,6.075,25.25,11.325,1.5375,4.265,10.5625
"192",2018-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",2018-07-12,15.4445833333333,7.21130434782609,10.0016666666667,17.5833333333333,3.10951412277065,1.33831068667598,3.63096665374108,4.72082957583283,16.19,7.48,10.065,17.125,3.145,2.485,4.5875,5.625
"194",2018-07-13,16.8058333333333,6.33166666666667,9.67958333333333,19.7934782608696,3.72657543768453,2.79705227860964,3.32830088413928,4.60215622260188,16.7,6.14,10.02,19.5,2.81,4.0175,4.31,6.25
"195",2018-07-14,16.1808333333333,6.38523809523809,8.485,20.2954545454545,3.98843754595343,3.40273804317585,4.23426190888607,3.50139118919041,16.185,5.75,7.5,21.125,3.495,4.9,6.75,5
"196",2018-07-15,11.9895833333333,6.9725,9.16333333333333,19.3541666666667,1.49107920988287,2.49590316492761,2.95685888955723,5.06689847391158,12.325,7.175,8.65,18.25,1.96,2.93,5.175,7.75
"197",2018-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",2018-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2018-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2018-07-19,15.6804166666667,10.13625,11.3434782608696,18.15625,4.62559559423965,3.00842557769371,3.43506200644796,6.25925944536155,16.215,10.71,11.42,18.125,4.335,3.9725,4.73,8.5625
"201",2018-07-20,16.0695833333333,9.78083333333333,13.2716666666667,19.125,4.32009005458337,3.81852340761357,2.65512575099998,5.99640269145554,16.66,9.91,13.4,19.125,3.7225,5.875,3.2525,7.625
"202",2018-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2018-07-22,12.5025,9.46458333333333,11.33625,24.0227272727273,2.547863981763,2.01650791386165,3.76445597720943,5.92156525463792,12.275,9.235,10.73,22.25,2.8375,3.16,6.14,5.6875
"204",2018-07-23,16.9483333333333,9.18958333333333,7.663,24.2261904761905,6.64374087044514,2.42881878459588,3.51518076199129,6.04922761696936,18.25,8.565,8.135,24,10.4625,4.1025,5.52,9.5
"205",2018-07-24,16.4145833333333,9.29041666666667,6.05652173913044,20.15625,3.73544942778459,1.81376734802279,3.95531817901331,4.64431191374717,16.39,9.735,4.61,20.75,4.0375,2.46,5.09,6.25
"206",2018-07-25,17.1786956521739,10.0352173913043,4.4875,28.1145833333333,4.42951393223786,3.67428146292234,3.01873461828829,14.2191655656743,18,9.55,3.97,22.75,7.945,4.105,4.505,15.875
"207",2018-07-26,17.79,8.44833333333333,5.23833333333333,22.9270833333333,5.34690479708503,2.92495212397335,3.88271606713278,6.39823309792339,15.73,8.495,4.36,22.375,8.05,4.705,7.075,8.875
"208",2018-07-27,17.2804166666667,8.9695652173913,6.75875,25.25,4.58236646587069,3.84248910598902,3.42501959689728,5.32579857249433,17.39,9.27,6.175,26.25,4.735,6.235,4.1425,8.25
"209",2018-07-28,18.97875,9.655,5.5575,28.8541666666667,5.64170211172048,2.56653039352149,4.38798879353331,4.55576358957068,18.44,9.5,4.68,28.75,8.4375,3.595,7.3625,6.4375
"210",2018-07-29,16.83875,10.0175,6.19583333333333,21.9782608695652,6.53865583347951,3.22454749100384,4.39324968031902,4.49678739078741,15,10.165,5.045,23.75,9.3525,3.955,4.385,6.625
"211",2018-07-30,18.65875,9.74708333333333,5.91,24.9891304347826,6.92834336965382,3.153108168647,2.77607010311183,6.01724711523881,17.09,9.635,5.51,25.75,10.6,4.2125,4.26,8.75
"212",2018-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",2018-08-01,21.1258333333333,10.3158333333333,6.22285714285714,26.3260869565217,10.3438298838809,2.53174268330981,4.23666513056808,8.53816125570714,18.915,10.36,5.34,27.25,11.3775,4.25,7.84,13.5
"214",2018-08-02,20.7879166666667,10.1263636363636,5.54190476190476,28.75,7.46089863987528,3.64108898604923,3.60416372969878,8.26957493255956,19.26,10.49,3.92,28.875,10.7625,5.0425,6.03,9.625
"215",2018-08-03,17.8229166666667,12.0641666666667,4.2375,29.1477272727273,6.75289855908375,5.13580264813395,3.14212779900232,12.1124834981727,18.235,11.9,3.235,29.25,11.7475,5.5125,5.4875,11.875
"216",2018-08-04,19.0720833333333,14.4483333333333,3.14,54.5,6.03800066187092,2.87545031129971,2.73687372338911,19.5960566130691,17.45,13.7,1.86,47,7.12,4.97,3.975,12.8125
"217",2018-08-05,14.3626086956522,10.7904166666667,4.24708333333333,30.28125,4.34677123369781,2.40189323725856,3.10639799679512,7.66212895406333,14.22,10.155,3.36,31.25,6.935,3.4175,4.99,9.25
"218",2018-08-06,14.73375,8.44166666666667,6.44565217391304,23.2291666666667,5.61776670193693,3.24516987786955,2.73722458321789,8.15539187695274,14.525,9.315,7.49,23.375,9.135,5.37,3.995,11.1875
"219",2018-08-07,16.4579166666667,9.49625,6.94,22.7916666666667,5.24669915211017,3.39356784481927,2.80908428948911,4.50281715360957,17.675,10.105,7.25,24.125,6.19,4.7575,3.795,6
"220",2018-08-08,18.7095833333333,10.0138888888889,NA,24.3636363636364,6.92148167045848,4.45275346259961,NA,4.7570294306772,17.455,8.335,NA,25,7.4575,7.5775,NA,8.1875
"221",2018-08-09,17.7904347826087,7.752,4.6704347826087,25.46875,4.71408863096075,3.66021512166185,3.74248881489902,8.2063444769223,19.38,7.7,2.6,24.625,7.585,5.1075,5.535,12.4375
"222",2018-08-10,15.3154166666667,10.0595454545455,4.59625,25.7934782608696,4.48113822804436,5.08286147125128,2.32733625025245,8.04943962402785,15.7,11.625,3.845,26.25,6.0425,7.54,3.255,11.75
"223",2018-08-11,16.04125,7.78958333333333,4.295,24.2604166666667,5.55066647976306,3.46012248987338,2.04049652951347,5.775924152795,15.3,7.215,4.04,22.875,5.685,5.3175,2.7175,8.9375
"224",2018-08-12,12.595,9.78826086956522,5.34,15.5104166666667,4.0079963551142,2.5192146181876,2.31640983969904,3.97716250082531,12.88,9.65,5.44,15.25,3.365,3.86,3.725,5.625
"225",2018-08-13,13.3165217391304,9.50083333333333,4.09272727272727,17.1630434782609,3.33021922387271,3.4378733525838,1.69326728916439,6.25482027558282,14.55,10.07,3.97,18.5,3.85,5.8175,2.6075,7.375
"226",2018-08-14,16.5029166666667,8.17666666666667,3.64952380952381,16.4565217391304,5.52000037741545,2.88808898253058,2.06142056890504,6.29829169385394,17.31,7.85,3.72,16,5.5825,3.9375,3.38,7.75
"227",2018-08-15,14.21375,8.86416666666667,4.19583333333333,17.28125,3.32456576111828,3.4541379301614,2.72559194474803,5.28344034203341,13.625,8.65,3.115,17.5,3.465,5.315,3.9275,6.8125
"228",2018-08-16,16.5879166666667,6.48260869565217,6.43833333333333,18.8229166666667,4.90963469744123,3.6732029835149,2.57803880071092,6.66246754077527,16.925,6.62,6.465,17.25,7.8225,5.7,4.205,6.625
"229",2018-08-17,15.3283333333333,7.53583333333333,4.92608695652174,30.0625,3.53090167898607,3.21529350430728,1.33185359258999,13.7248287389331,15.66,7.575,4.85,27.125,4.13,4.1275,1.915,14.5
"230",2018-08-18,15.4820833333333,6.37727272727273,5.8604347826087,24.96875,5.80765759797892,3.38758824424606,1.19365168614051,7.27574607708796,15.34,6.825,6.17,26.875,8.77,5.015,1.095,14
"231",2018-08-19,13.34125,6.07291666666667,6.96304347826087,20.4583333333333,4.38498655245571,3.40810476360545,1.81968637353356,6.03056826701998,14.215,5.615,7.55,19.375,5.75,5.35,1.715,6.625
"232",2018-08-20,16.3920833333333,7.89375,5.32958333333333,23.0729166666667,6.73691968004386,2.57262480155292,1.6850841268295,8.58951559051557,16.6,8.315,5.635,21.25,11.0225,3.3075,1.9275,11.4375
"233",2018-08-21,15.4416666666667,8.02125,5.94,25.1666666666667,4.22176829494844,3.04026216332393,1.71455153218611,8.20646175234818,16.04,8.615,6.44,26.25,4.3,4.185,2.765,13.5625
"234",2018-08-22,15.9354166666667,7.68833333333333,5.35083333333333,23.7083333333333,4.9014531821799,2.45043681406196,2.49064496041499,6.0030185643606,15.99,7.91,5.44,22.5,6.8275,2.945,3.5775,8.9375
"235",2018-08-23,16.8041666666667,6.98875,3.81565217391304,21.03125,6.94274279634727,2.02901842299905,1.57102406117491,6.72370583151105,16.825,6.735,3.83,21.875,11.975,2.72,2.28,11.875
"236",2018-08-24,16.7479166666667,7.42695652173913,3.46826086956522,24.3260869565217,6.10056303828245,2.8690360034222,2.17719722281551,4.80910286391664,15.785,7.3,2.99,23.25,10.2475,4.115,3.035,4.75
"237",2018-08-25,18.3729166666667,7.9775,2.97636363636364,30.0104166666667,6.24745337972874,4.1267781411274,2.43140278039643,10.1391083044884,17.68,7.29,1.815,29.375,10.7275,5.6675,4.165,10.5625
"238",2018-08-26,15.4786956521739,9.03541666666667,4.27904761904762,26.8522727272727,5.29206121069168,4.70091108576113,2.82931777070357,7.82002127132546,13.5,10.21,4.31,27.75,9.3,8.5875,4.45,7.1875
"239",2018-08-27,17.1658333333333,9.3725,4.0535,27.7708333333333,6.29433970475383,3.05106574395129,2.40701010209325,10.8730112291125,18.86,9.325,3.65,29.25,9.1925,3.6025,3.28,21.375
"240",2018-08-28,19.7208333333333,6.47434782608696,3.54105263157895,40.4166666666667,6.22386495093975,2.99983458041963,2.2436797521949,19.5918498286952,19.8,6.43,3.67,33.875,7.9375,4.42,3.85,17.25
"241",2018-08-29,19.0821739130435,8.01782608695652,2.89736842105263,33.2173913043478,5.59295332337669,2.62762761392674,2.25353756989924,8.90904301431024,20.12,8.1,2.45,32,9.425,3.61,3.72,9.25
"242",2018-08-30,18.65875,7.995,2.58315789473684,31.0833333333333,6.49715945458174,2.99001236001517,1.83132330003191,10.9702331102285,18.215,8.735,2.25,29.375,7.0125,5.4225,3.38,13.875
"243",2018-08-31,17.9995833333333,8.55333333333333,2.94521739130435,23.4166666666667,7.06549513891072,2.63697070381027,2.21569785757161,10.3445182570777,17.315,8.86,2.25,22.375,7.5975,3.2125,2.35,15.5625
"244",2018-09-01,19.9954166666667,7.22782608695652,4.5225,28.4895833333333,7.6350803527372,2.96378283544057,2.73293797953777,8.95565135114071,19.33,7.33,3.87,29.25,12.77,4.495,5.0975,15.125
